,,,Bilingual,,SpED,,Free/Reduced Lunch,
School Year,School ID,Total,N,%,N,%,N,%
2015,400107,450,45,10.00%,57,12.67%,422,93.78%
2015,400165,284,0,0.00%,51,17.96%,263,92.61%
2015,400151,267,0,0.00%,24,8.99%,245,91.76%
2015,400047,488,3,0.61%,57,11.68%,485,99.39%
2015,400048,448,0,0.00%,43,9.60%,433,96.65%
2015,400046,638,3,0.47%,41,6.43%,601,94.20%
2015,400111,456,0,0.00%,44,9.65%,420,92.11%
2015,400049,496,2,0.40%,58,11.69%,454,91.53%
2015,400119,251,1,0.40%,40,15.94%,238,94.82%
2015,609907,460,0,0.00%,35,7.61%,449,97.61%
2015,610298,289,5,1.73%,8,2.77%,111,38.41%
2015,610036,511,46,9.00%,53,10.37%,509,99.61%
2015,609738,"2,267",53,2.34%,163,7.19%,"1,321",58.27%
2015,609807,563,114,20.25%,82,14.56%,524,93.07%
2015,400137,190,0,0.00%,39,20.53%,179,94.21%
2015,609834,892,460,51.57%,86,9.64%,886,99.33%
2015,610325,846,283,33.45%,96,11.35%,818,96.69%
2015,609809,426,151,35.45%,64,15.02%,368,86.38%
2015,609773,510,39,7.65%,116,22.75%,250,49.02%
2015,610094,840,106,12.62%,82,9.76%,235,27.98%
2015,610117,"1,260",441,35.00%,134,10.63%,"1,190",94.44%
2015,609774,567,29,5.11%,45,7.94%,95,16.75%
2015,610237,376,1,0.27%,57,15.16%,370,98.40%
2015,610108,467,6,1.28%,57,12.21%,448,95.93%
2015,609818,995,441,44.32%,120,12.06%,968,97.29%
2015,609817,866,431,49.77%,82,9.47%,754,87.07%
2015,610566,200,0,0.00%,40,20.00%,165,82.50%
2015,610567,200,0,0.00%,31,15.50%,183,91.50%
2015,610582,200,0,0.00%,34,17.00%,190,95.00%
2015,610580,95,4,4.21%,16,16.84%,89,93.68%
2015,610369,359,0,0.00%,70,19.50%,355,98.89%
2015,610197,540,231,42.78%,97,17.96%,448,82.96%
2015,609722,356,1,0.28%,105,29.49%,308,86.52%
2015,609872,338,122,36.09%,44,13.02%,335,99.11%
2015,610128,294,0,0.00%,31,10.54%,291,98.98%
2015,610017,"1,222",477,39.03%,102,8.35%,"1,155",94.52%
2015,610544,970,232,23.92%,80,8.25%,897,92.47%
2015,609756,"3,060",277,9.05%,323,10.56%,"2,914",95.23%
2015,609780,760,104,13.68%,72,9.47%,737,96.97%
2015,610081,557,56,10.05%,36,6.46%,316,56.73%
2015,610177,966,54,5.59%,54,5.59%,262,27.12%
2015,610206,"1,196",196,16.39%,96,8.03%,"1,056",88.29%
2015,610053,"1,274",386,30.30%,129,10.13%,"1,254",98.43%
2015,610152,409,0,0.00%,50,12.22%,407,99.51%
2015,610539,"1,032",360,34.88%,128,12.40%,957,92.73%
2015,610355,576,116,20.14%,164,28.47%,498,86.46%
2015,610312,185,0,0.00%,12,6.49%,172,92.97%
2015,610127,888,238,26.80%,94,10.59%,707,79.62%
2015,610046,"1,417",486,34.30%,164,11.57%,"1,353",95.48%
2015,609888,192,0,0.00%,23,11.98%,186,96.88%
2015,609935,"1,261",314,24.90%,130,10.31%,"1,226",97.22%
2015,610362,365,0,0.00%,53,14.52%,326,89.32%
2015,609928,383,1,0.26%,63,16.45%,373,97.39%
2015,610055,370,0,0.00%,55,14.86%,368,99.46%
2015,609832,637,53,8.32%,97,15.23%,393,61.70%
2015,610244,511,0,0.00%,63,12.33%,506,99.02%
2015,610208,393,1,0.25%,53,13.49%,382,97.20%
2015,609830,620,16,2.58%,65,10.48%,613,98.87%
2015,610011,913,269,29.46%,117,12.81%,705,77.22%
2015,609725,"1,436",5,0.35%,167,11.63%,"1,234",85.93%
2015,610257,404,3,0.74%,46,11.39%,399,98.76%
2015,610075,26,0,0.00%,26,100.00%,25,96.15%
2015,610082,"1,059",1,0.09%,113,10.67%,268,25.31%
2015,610086,293,0,0.00%,53,18.09%,283,96.59%
2015,610385,276,71,25.72%,56,20.29%,271,98.19%
2015,609806,736,4,0.54%,91,12.36%,728,98.91%
2015,400050,485,159,32.78%,84,17.32%,410,84.54%
2015,609783,333,6,1.80%,114,34.23%,277,83.18%
2015,609960,951,136,14.30%,130,13.67%,721,75.81%
2015,609876,913,414,45.35%,74,8.11%,898,98.36%
2015,609952,620,261,42.10%,50,8.06%,597,96.29%
2015,610231,626,17,2.72%,71,11.34%,553,88.34%
2015,609692,"1,402",0,0.00%,116,8.27%,"1,296",92.44%
2015,610284,607,392,64.58%,82,13.51%,574,94.56%
2015,609792,"1,011",359,35.51%,114,11.28%,917,90.70%
2015,609730,"1,281",187,14.60%,147,11.48%,"1,120",87.43%
2015,609793,559,0,0.00%,72,12.88%,557,99.64%
2015,609961,407,26,6.39%,38,9.34%,403,99.02%
2015,400170,194,9,4.64%,27,13.92%,165,85.05%
2015,400097,"1,085",89,8.20%,142,13.09%,989,91.15%
2015,400156,266,0,0.00%,40,15.04%,239,89.85%
2015,400052,"1,022",4,0.39%,145,14.19%,909,88.94%
2015,400053,645,54,8.37%,97,15.04%,602,93.33%
2015,400098,842,47,5.58%,93,11.05%,725,86.10%
2015,400051,615,46,7.48%,80,13.01%,565,91.87%
2015,400054,929,91,9.80%,100,10.76%,875,94.19%
2015,400055,619,50,8.08%,95,15.35%,526,84.98%
2015,400056,624,30,4.81%,112,17.95%,584,93.59%
2015,400057,887,48,5.41%,97,10.94%,781,88.05%
2015,400157,263,6,2.28%,66,25.10%,254,96.58%
2015,400106,848,8,0.94%,153,18.04%,805,94.93%
2015,400118,463,16,3.46%,90,19.44%,440,95.03%
2015,400117,647,1,0.15%,129,19.94%,555,85.78%
2015,400169,286,41,14.34%,30,10.49%,273,95.45%
2015,609810,"1,078",331,30.71%,127,11.78%,835,77.46%
2015,400058,411,3,0.73%,64,15.57%,396,96.35%
2015,400059,410,0,0.00%,52,12.68%,398,97.07%
2015,610354,361,181,50.14%,66,18.28%,336,93.07%
2015,609691,923,198,21.45%,147,15.93%,900,97.51%
2015,609749,"1,050",6,0.57%,65,6.19%,432,41.14%
2015,609744,270,64,23.70%,270,100.00%,237,87.78%
2015,610051,567,143,25.22%,59,10.41%,557,98.24%
2015,610099,381,11,2.89%,52,13.65%,88,23.10%
2015,610529,752,52,6.91%,85,11.30%,372,49.47%
2015,610201,839,84,10.01%,88,10.49%,459,54.71%
2015,610300,381,3,0.79%,47,12.34%,375,98.43%
